,선수명,팀,PTS,FG,FGA,FG%,FT,FTA,FT%,PP,PPA,PP%,OFF,DEF,TOT,AST,TO,STL,BS,PF
0,앤드류 니콜슨,대구 한국가스공사,24.0,9.3,17.9,52.3,3.1,3.8,81.0,5.7,9.0,63.7,1.3,7.7,9.0,1.2,2.0,0.8,0.4,1.5
1,자밀 워니,서울 SK,22.9,9.8,18.8,52.2,3.1,4.0,76.5,9.0,16.1,56.2,4.1,8.5,12.6,2.8,1.5,1.2,0.6,1.2
2,오마리 스펠맨,안양 KGC,21.5,8.1,17.3,46.7,2.8,4.5,62.2,4.6,7.5,61.4,1.7,9.2,10.9,3.6,2.2,1.2,1.5,1.9
3,라건아,전주 KCC,19.4,8.2,13.8,59.3,2.2,3.0,74.1,6.3,9.0,69.3,3.6,7.5,11.1,2.2,1.6,0.6,0.9,1.9
4,캐디 라렌,수원 KT,18.2,7.4,14.0,52.7,2.6,3.5,73.9,5.7,9.6,59.6,3.6,7.6,11.2,1.2,2.2,0.6,1.9,2.7
5,아이제아 힉스,서울 삼성,17.7,6.9,12.3,56.2,3.5,4.8,72.2,5.6,9.0,62.2,2.1,5.0,7.1,1.0,2.8,0.9,1.1,3.1
6,라숀 토마스,울산 현대모비스,16.7,6.8,12.6,53.9,3.2,4.7,68.5,5.9,10.0,59.2,3.5,6.1,9.6,1.8,2.0,1.6,1.2,3.1
7,이대성,고양 오리온,16.4,5.7,12.6,45.1,3.4,4.1,81.2,2.6,5.0,51.9,0.6,2.0,2.6,4.0,2.3,1.0,0.1,1.9
8,아셈 마레이,창원 LG,16.3,6.7,13.1,51.5,2.8,5.2,53.1,6.2,11.1,55.7,6.0,7.2,13.1,3.5,2.1,1.9,0.7,2.8
9,허웅,원주 DB,16.3,5.5,12.3,45.3,3.1,3.7,84.5,2.6,4.0,65.2,0.5,2.2,2.7,4.2,1.9,0.8,0.1,1.8
10,토마스 로빈슨,서울 삼성,15.4,6.7,15.4,43.2,1.9,2.8,67.6,6.1,12.7,48.0,3.7,6.5,10.2,2.3,4.0,1.0,0.3,2.6
11,최준용,서울 SK,15.3,5.5,12.1,45.7,2.6,3.6,71.7,3.2,5.3,60.0,1.4,4.5,5.8,3.0,2.0,0.9,1.1,2.4
12,이관희,창원 LG,14.8,5.3,13.9,38.0,2.2,2.5,86.3,1.9,4.0,46.6,0.6,2.5,3.1,2.5,1.6,1.1,0.2,1.9
13,두경민,대구 한국가스공사,14.7,5.1,12.4,41.1,2.1,2.7,80.5,2.2,3.9,57.1,0.7,1.8,2.5,4.7,2.4,1.5,0.0,1.9
14,전성현,안양 KGC,14.7,4.9,12.0,41.1,1.9,2.3,83.9,1.3,2.8,47.7,0.7,1.7,2.3,1.7,1.1,1.0,0.1,1.2
15,조니 오브라이언트,원주 DB,14.7,5.7,13.0,43.8,1.8,2.2,79.3,2.9,4.3,67.9,1.8,6.5,8.4,2.2,2.2,0.7,0.4,2.2
16,머피 할로웨이,고양 오리온,14.6,6.6,11.4,58.2,1.3,2.3,54.8,6.0,9.1,65.4,2.3,8.0,10.3,2.5,2.0,2.3,0.9,1.9
17,허훈,수원 KT,14.2,4.9,11.5,42.7,2.5,3.1,80.8,2.0,3.6,55.6,0.7,1.7,2.4,4.9,2.8,1.2,0.0,1.9
18,김선형,서울 SK,13.7,5.4,11.0,48.7,1.8,2.4,75.6,4.0,6.9,57.4,0.7,1.9,2.7,5.7,2.1,1.3,0.1,1.2
19,변준형,안양 KGC,13.7,4.9,10.9,44.7,2.1,2.9,73.1,2.9,4.7,62.5,0.7,1.6,2.3,5.8,2.4,1.3,0.3,3.0
20,오세근,안양 KGC,13.6,5.6,10.1,54.9,2.3,3.1,76.1,4.1,6.3,65.4,1.9,3.7,5.7,1.9,1.2,0.6,0.4,2.5
